sample_type,N_rate,P_rate,K_rate,Zn_rate,global_warming,freshwater_eutrophication,terrestrial_acidification,terrestrial_ecotoxicity
OAT_N,142.2444,50.0,30.0,20.0,5179.250441092479,0.40151702016044355,26.509008834539284,13602.816067848438
OAT_N,121.8218,50.0,30.0,20.0,5077.8699110893685,0.3715264276103182,26.068805461462226,13496.889249237176
OAT_N,142.3675,50.0,30.0,20.0,5179.861526029921,0.40169779253726734,26.51166222026029,13603.454556158982
OAT_N,122.4615,50.0,30.0,20.0,5081.045467827638,0.3724658271997101,26.08259401423011,13500.207210019136
OAT_N,139.3761,50.0,30.0,20.0,5165.011814560701,0.39730492098543524,26.447183438409652,13587.93892714046
OAT_N,124.7385,50.0,30.0,20.0,5092.3488017232785,0.37580960219587295,26.13167410591758,13512.017428403557
OAT_N,147.1259,50.0,30.0,20.0,5203.482862880606,0.40868550397413217,26.614228187886837,13628.13516360758
OAT_N,128.9538,50.0,30.0,20.0,5113.2741172130845,0.38199977116439526,26.222533706484192,13533.88111463803
OAT_N,123.8421,50.0,30.0,20.0,5087.89895169954,0.3744932386005456,26.112352457174207,13507.36803017791
OAT_N,140.9442,50.0,30.0,20.0,5172.796073621637,0.3996076761771274,26.480983390880066,13596.072261988342
OAT_N,141.5243,50.0,30.0,20.0,5175.675767953152,0.4004595531535324,26.49348728248652,13599.081092767792
OAT_N,147.2585,50.0,30.0,20.0,5204.141107094291,0.4088802271030261,26.617086343423846,13628.822925995715
OAT_N,120.3605,50.0,30.0,20.0,5070.615821576107,0.369380508241898,26.037307552818003,13489.309858756209
OAT_N,120.5039,50.0,30.0,20.0,5071.327678440681,0.36959109117314515,26.040398499303723,13490.05363799043
OAT_N,126.9613,50.0,30.0,20.0,5103.383079537607,0.3790737844802255,26.179585931917973,13523.54652520853
OAT_N,128.4603,50.0,30.0,20.0,5110.824316915544,0.3812750663068606,26.211896453410954,13531.32145597632
OAT_N,126.239,50.0,30.0,20.0,5099.797485302727,0.3780130867728349,26.164016959486766,13519.800139288865
OAT_N,121.5051,50.0,30.0,20.0,5076.297769743409,0.37106135359130865,26.061979082438327,13495.246607092971
OAT_N,149.4792,50.0,30.0,20.0,5215.164960226504,0.412141325536921,26.66495290451754,13640.341130636167
OAT_N,124.9199,50.0,30.0,20.0,5093.24929569283,0.3760759881354004,26.135584131667294,13512.958303948113
OAT_N,130.2079,50.0,30.0,20.0,5119.499638090783,0.38384141728766613,26.249565477667883,13540.38581155323
OAT_N,142.816,50.0,30.0,20.0,5182.087940282092,0.40235641488499635,26.521329511047213,13605.780811295308
OAT_N,129.2305,50.0,30.0,20.0,5114.647693185383,0.38240610517468876,26.22849789680915,13535.316286981888
OAT_N,126.1536,50.0,30.0,20.0,5099.373548229962,0.37788767685422614,26.162176186614523,13519.357191265133
OAT_N,132.5074,50.0,30.0,20.0,5130.914665009107,0.38721823353873186,26.299130550498504,13552.312731700347
OAT_N,145.891,50.0,30.0,20.0,5197.352653382264,0.406872053055045,26.587610267278645,13621.730052196546
OAT_N,124.2762,50.0,30.0,20.0,5090.053882417194,0.3751307145451368,26.121709360029516,13509.61959618612
OAT_N,143.9088,50.0,30.0,20.0,5187.512746290505,0.4039611919231197,26.544884506302406,13611.448886240634
OAT_N,148.7749,50.0,30.0,20.0,5211.6687204097725,0.41110706083345266,26.649771917000862,13636.688106126652
OAT_N,141.9144,50.0,30.0,20.0,5177.612276759779,0.4010324150885359,26.501895777772987,13601.10444199562
OAT_N,132.2795,50.0,30.0,20.0,5129.783338792675,0.38688356233907195,26.29421823038626,13551.130672512902
OAT_N,121.7338,50.0,30.0,20.0,5077.433067267315,0.3713971995911428,26.06690864632455,13496.432815676431
OAT_N,134.7404,50.0,30.0,20.0,5141.99957699372,0.390497394525307,26.347262234617126,13563.8947333044
OAT_N,124.1779,50.0,30.0,20.0,5089.565908011423,0.37498636097371707,26.11959053130186,13509.10973915178
OAT_N,131.8193,50.0,30.0,20.0,5127.498844168708,0.3862077585387934,26.284298749404897,13548.743732459978
OAT_N,135.4917,50.0,30.0,20.0,5145.729131124503,0.3916006787390168,26.363456293855076,13567.79153482931
OAT_N,139.5005,50.0,30.0,20.0,5165.629352872786,0.3974876024125422,26.449864845263374,13588.584158219523
OAT_N,139.5758,50.0,30.0,20.0,5166.003152188703,0.39759818047895024,26.45148791548914,13588.974720118666
OAT_N,123.8652,50.0,30.0,20.0,5088.013623202829,0.37452716095557914,26.112850371147857,13507.487843987608
OAT_N,127.8531,50.0,30.0,20.0,5107.8100945433725,0.3803833929745505,26.19880842896096,13528.172064407137
OAT_N,120.49,50.0,30.0,20.0,5071.258676973333,0.3695706790201163,26.04009888873084,13489.981542234807
OAT_N,120.16,50.0,30.0,20.0,5069.620512640632,0.36908607394820864,26.03298583196454,13488.269916381998
OAT_N,131.1306,50.0,30.0,20.0,5124.080044847704,0.3851964024387243,26.2694540154808,13545.171621172603
OAT_N,124.6941,50.0,30.0,20.0,5092.128394158514,0.3757444007861981,26.130717076461746,13511.787136925182
OAT_N,127.3672,50.0,30.0,20.0,5105.39802166683,0.3796698487186719,26.188334991740525,13525.651825007493
OAT_N,136.3601,50.0,30.0,20.0,5150.039985386678,0.3928759243282428,26.382174410509176,13572.29570419472
OAT_N,131.4131,50.0,30.0,20.0,5125.4824127991815,0.3856112537502816,26.275543223167105,13546.636876637514
OAT_N,120.4252,50.0,30.0,20.0,5070.937001068003,0.3694755202059963,26.038702143038552,13489.645441158258
OAT_N,120.3189,50.0,30.0,20.0,5070.4093135875,0.36931941863283324,26.0364108765711,13489.09409016385
OAT_N,124.8937,50.0,30.0,20.0,5093.119235373082,0.3760375134296913,26.135019398069485,13512.822411228886
