sample_type,N_rate,P_rate,K_rate,global_warming,marine_eutrophication,terrestrial_acidification
OAT_P,135,52.447,30,5154.287197,0.701261562,26.42025341
OAT_P,135,40.9597,30,5120.898268,0.699588999,26.2553096
OAT_P,135,56.7296,30,5166.734981,0.701885114,26.48174639
OAT_P,135,57.0589,30,5167.692123,0.70193306,26.48647475
OAT_P,135,53.4734,30,5157.270526,0.701411007,26.43499128
OAT_P,135,44.6877,30,5131.734055,0.7001318,26.3088392
OAT_P,135,58.862,30,5172.933004,0.702195593,26.51236509
OAT_P,135,53.035,30,5155.996275,0.701347176,26.42869638
OAT_P,135,53.8911,30,5158.484611,0.701471825,26.44098895
OAT_P,135,58.7989,30,5172.749598,0.702186406,26.51145905
OAT_P,135,48.5835,30,5143.057567,0.700699033,26.3647782
OAT_P,135,49.2541,30,5145.00673,0.700796673,26.37440721
OAT_P,135,40.3344,30,5119.080775,0.699497955,26.24633105
OAT_P,135,49.8006,30,5146.595184,0.700876244,26.38225429
OAT_P,135,52.3406,30,5153.977936,0.70124607,26.41872563
OAT_P,135,51.9869,30,5152.949873,0.701194571,26.41364693
OAT_P,135,48.5546,30,5142.973567,0.700694825,26.36436323
OAT_P,135,43.5601,30,5128.456578,0.69996762,26.29264822
OAT_P,135,42.6455,30,5125.798206,0.699834453,26.27951566
